from,to,relation,time
TH,VfB,1,2019
TH,GZ,3,2009
TH,UA,3,2009
TH,BMH,3,2011
TH,DAFK,2,n/a
SH,VfB,1,2015
SH,VR,4,2006
SH,SNP,4,2009
SH,VA,4,2011
SH,VM,4,n/a
SH,VB,1,n/a
SH,WF,4,n/a
JR,VfB,1,2015
JR,VM,4,2006
OS,VfB,1,2015
OS,KC,2,n/a
CV,VfB,1,2019
CV,IGH,4,2010
CV,FC,3,2017
WP,VfB,1,2014
WP,DA,4,2009
RA,VfB,1,2020
BG,VfB,1,2017
HJ,VfB,1,2014
HJ,KA,4,2001
HJ,AKF,3,2001
HO,VfB,1,2016
FR,VfB,1,2016
FR,DAM,4,2019
BS,VfB,1,2017
BS,RB,4,1996
